artist,song,lyrics,genres,genre_1,genre_2,genre_3
M.I.A.,Borders,"Freedom, 'I'dom, 'Me'dom

Where's your 'We'dom?

This world needs a brand new 'Re'dom

We'dom - the key

We'dom the key'dom to life!

Let's be 'dem

We'dom smart phones

Don't be dumb!



Borders (What's up with that?)

Politics (What's up with that?)

Police shots (What's up with that?)

Identities (What's up with that?)

Your privilege (What's up with that?)

Broke people (What's up with that?)

Boat people (What's up with that?)

The realness (What's up with that?)

The new world (What's up with that?)

Am gonna keep up on all that



Guns blow doors to the system

Yeah fuck 'em when we say we're not with them

We solid and we don't need to kick them

This is North, South, East and Western


[x2]



Queen (What's up with that?)

Killing it (What's up with that?)

Slaying it (What's up with that?)

Your goals (What's up with that?)

Being bae (What's up with that?)

Making money (What's up with that?)

Freaking internet (What's up with that?)

Love wins (What's up with that?)

Living lil (What's up with that?)

Being lil (What's up with that?)



Guns blow doors to the system

Yeah fuck 'em when we say we're not with them

We solid and we don't need to kick them

This is North, South, East and Western


[x2]



We representing peeps, they don't play us on the FM

We talkin' in our sleep, they still listen on the system

We sittin' on a stoop

Where we get our scoop

This is how we keep it cool

This is how we do


[x2]



Egos (What's up with that?)

Your values (What's up with that?)

Your beliefs (What's up with that?)

Your families (What's up with that?)

Histories (What's up with that?)

Your future (What's up with that?)

My boys (What's up with that?)

My girls (What's up with that?)

Freedom (What's up with that?)

Your power (What's up with that?)



Guns blow doors to the system

Yeah fuck 'em when we say we're not with them

We solid and we don't need to kick them

This is North, South, East and Western


[x2]



We representing peeps, they don't play us on the FM

We talkin' in our sleep, they still listen on a system

We sittin' on a stoop

Where we get our scoop

This is how we keep it cool

This is how we do


[x2]



Gonna keep up on all that

Gonna be doing it like that

Gonna keep up on all that

Gonna be doing it like that

Like that","electronic, hip-hop, female vocalists",electronic,hip-hop,female vocalists
Hooverphonic,Anger Never Dies,"See the leaves how slow they tumble down

Covering the green and yellow lawn

As proof of what has been and what will come

Enjoying hazy light of early dawn



It ain't good enough, good enough

Good enough to try and not succeed

Succeed



Anger never dies

It's part of life, it's part of you

The end will cease the fire

And make us accept we tend to lose



See the tears how slow they tumble down

Covering who believes in empty vows

As proof of what has been and what will be

Alcohol puts us both to sleep



It ain't good enough, good enough

Good enough to try and not succeed

Succeed



Anger never dies

It's part of life, it's part of you

The end will cease the fire

And make us accept we tend to lose



Anger never dies

It's part of life, it's part of you

The end will cease the fire

And make us accept we tend to lose



Anger never dies

It's part of life, it's part of you

The end will cease the fire

And make us accept we tend to lose



We tend to lose",,,,
Hooverphonic,Tomorrow,"It all comes down to winning but defeat is no shame

and why do you lose interest when there's nothing more to gain

because evil attracts but our love will be a fact

tomorrow



because time is up

and so are we

but still there's a chance to avoid defeat

tomorrow



just a little more effort do try to succeed

there's nothing in life that's impossible to beat

because evil attracts but our love will be a fact

tomorrow","trip-hop, electronic, chillout",trip-hop,electronic,chillout
The Chemical Brothers,Shake Break Bounce,,"electronic, big beat, dance",electronic,big beat,dance
Kraftwerk,Dentaku,"Bokuwa ongakuka

Dentaku katateni

Tashitari

Hiitari

Sousashite

Sakkyoku suru

Kono botan oseba

Ongaku kanaderu","electronic, synthpop, german",electronic,synthpop,german
Above & Beyond,13 Voices,,"trance, progressive trance, vocal trance",trance,progressive trance,vocal trance
deadmau5,"Beautiful, Rich And Horny",,"progressive house, house, electronic",progressive house,house,electronic
3OH!3,Make It Easy,"There's a shadow on my head

There's a monster who lives under my bed

I could really use a light now, right now

That burns so bright until I'm dead.

There's a snow storm in my heart

There's an army of women tryin'a rip it apart

I could really use a getaway right away

So they could watch the tail lights fade in the dark.



If I fall apart

Take me to the start

So far it's been dark

It shouldn't be that hard



But suddenly the light is shining right in front of me

Tryin'a steal it from the sky before it leaves

Struggling is something that we shouldn't have to do

Just relax and take a breath and make it easy

Make it easy

Make it easy



There's a car crash in my eyes

There's a drunk man in my head telling me lies

I could really use some medicine to go again

But the lows get lower every time I go dry



There's a land mine in my lungs

There's a razor blade in my mouth under my tongue

I could really use an alibi right now

Cuz the city is alive and the night is still young



If I fall apart

Take me to the start

So far it's been dark

It shouldn't be that hard



But suddenly the light is shining right in front of me

Tryin'a steal it from the sky before it leaves

Struggling is something that we shouldn't have to do

Just relax and take a breath and make it easy

Make it easy

Make it easy



If I fall apart

Take me to the start

(Make it easy)

So far it's been dark

It shouldn't be that hard



I guess I could have held you

Cuz when I fell, I fell hard

And now I'm ready for it

Yeah all I really need's a start



Make it easy

Make it easy



If I fall apart

Take me to the start

(Make it easy)

So far it's been dark

It shouldn't be that hard

(Make it easy)","electronic, pop, electro pop",electronic,pop,electro pop
Cobra Starship,Keep It Simple,"I've seen the future

So I already know

Baby you've been let down

You can't take anymore



You hear that I'm untrue

But you've been around too

I don't hide it from you



I know that you're needy

Baby, take it easy

And we can make all our dreams come true

If you...



I'm down if you don't expect any more from me

I ain't got much for you

It's all right

If you wanna get down

Keep it simple, now 
[x2]



Time keeps slipping us by

When we're alone

Music makes me get high

We're getting down on the floor



Let this groove just take you

Make your booty shake too

Just show me what you can do

I know that you're needy

Baby, take it easy

We can make all our dreams come true

If you...



I'm down if you don't expect any more from me

I ain't got much for you

It's all right

If you wanna get down

Keep it simple, now 
[x2]



How do you feel?

Do you feel all right? 
[x4]



I'm down if you don't expect any more from me

I ain't got much for you

It's all right

If you wanna get down

Keep it simple, now 
[x2]","alternative, indie rock, pop punk",alternative,indie rock,pop punk
Nicky Romero,I See,"You, you're all I need

You, you're all I see when I close my eyes and dream

You're all I see

You, you're all I need, all I need, all I need



You, you're all I need

You, you're all I see when I close my eyes and dream

You're all I see

You, you're all I need, all I need, all I need



You, you're all I need

You, you're all I see when I close my eyes and dream

You're all I see

You, you're all I need, all I need, all I need","house, electronic, electro house",house,electronic,electro house
