artist,song,lyrics,genres,genre_1,genre_2,genre_3
My Morning Jacket,Picture Of You,"I've got the ocean blue

I've got a picture of you with green green eyes

And a cocaine smile

And a little worry anymore



I've got a house in a court

I've got a car and a door and a big left arm

And a little worry anymore

'Cause I tried, I did



Sorry, you know I'm sorry

You know I'd give you anything on a dime

Sorry again, cut your little head

But sorry don't mean nothin' on a dime



You don't say I'll wait up

You don't say I'll wait up

You don't say I'll wait up

...","indie rock, indie, rock",indie rock,indie,rock
Aimee Mann,Gumby,"Gumby, I just canât do anything,

canât do anything right

donât ask me

if Iâll help when helping you

just means someone to fight



Itâs so hard putting on your clothes

you donât even move to cover your skin

why move, moving is how things begin

the front yard taken by the crows

blackguards with their shiny pieces of tin

so much fury

you bury it in



Gumby, we should call your daughter

please, call your daughter again

you must see

things are getting harder and

getting more out of hand



Dude, youâre not even that old

how bad must it be to be bad as this

all day, filling a bottomless pit

all these trinkets bought and sold

all tokens youâve thrown down to the abyss

thereâs a bottom that youâll never hit



And I donât know just how you explain this

to a kid with nowhere to live

tell her that the father she has means well

but just has nothing to give



Gumbyâ¦

you should call your daughter again

donât call meâ¦

call your daughter.","indie rock, folk rock, female vocalists",indie rock,folk rock,female vocalists
Aimee Mann,The Other End,,"female vocalists, singer-songwriter, indie",female vocalists,singer-songwriter,indie
Matt Nathanson,Then I'll Be Smiling,"Trailed by a mess 

Of masking tape construction paper

And the best of intentions

He tried to patch up every hole as he went

Back and forth and back again

And his friends half full of half concerns

Embarrassed looks and tired words

They burrowed deeper into the ignorant

Little lives they preferred

And he envied their distance

Their lack of concern

He thought, 

Once I shed the whole of me

Once I shed the whole of me

Then I'll be smiling



He cursed himself 

And his instinct to nurse 

Every idea to health

And all of the falls that he'd spent

Trying to coax his name from the mouths

Of success

He thought

Once I shed the whole of me

Once I shed the whole of me

Then I'll be smiling.



They litter me with small awareness'

Then they ask if I'm good enough

They litter me with small awareness'

Just to wake me up

Why do the fools wake me up?","singer-songwriter, acoustic, usa",singer-songwriter,acoustic,usa
Laura Marling,You're No God,"Your mum thinks you're sad

That you're living alone,

And your friends think if you're sad

You should call them more.

But the truth is

That you never needed someone to comfort you

Oh you've never needed someone to comfort you.



But you're no god, you're no god.

And you will never leave this place,

And you will always feel alone,

And you will never feel quite clean

In this new skin that you have grown

Until your old and broken bones

Are laid into their resting place

Just like the rest of human race.



Til I fall into my place,

Just like the rest of human race,

Til I'm laid into my final resting place,

Just like the rest of human race who've done it,

Without complaining all the way.



But you're no god, you're no god.

As long as you promise

That you will never leave

I need only worry about

You and me.



We will never leave this place,

We need never feel alone,

We will learn to feel quite clean

In this new skin that we have grown

Because our young and healthy bones

Would never lead us astray.



We will learn to feel quite clean, in this new skin that we have

We will learn to feel quite clean, in this new skin that we have

We will learn to feel quite clean, in this new skin that we have grown

Because our young and healthy bones

Would never lead us astray.","folk, female vocalists, indie",folk,female vocalists,indie
Richard Thompson/ Richard And Linda Thompson,Baby Talk,,,,,
Richard Thompson/ Richard And Linda Thompson,Killerman Gold Posse,,,,,
Richard Thompson/ Richard And Linda Thompson,The Desert,,,,,
Woody Guthrie,Blowin' Down This Road,,"folk, singer-songwriter, country",folk,singer-songwriter,country
John Martyn,Johnny Too Bad,"Walking down the road

With no blade in your hand

Johnny you're too bad, that's what they say

Walking down the road

With a blade in your waist

Oh Johnny you're too bad, Johnny you're too bad

With your blade come flicking

You're licking, and sticking

Too bad

With your running, and shooting, looting and tooting

You're too bad



Cos one of these days

You're going to make your woman cry

Ooh, Johnny too bad

One of these days

You're going to make your woman cry

Cos Johnny, you're so bad

Ooh, that's what they tell me about you

With you licking and sticking

Switchblade a picking

Too bad

With you're looting, you're shooting, looting, your tooting

You're too bad

That's what they say about you



Walking down the road

You're going to hear a voice say

Come, Johnny, where you're going to run to

Come that sweet day

You be walking down the road

You'might hear a voice say

Come, Johnny, where you're going to run to

Come that sweet day

You might run to the rock for rescue

You'll find no rock, you'll find no rock there

Run to the rock for rescue

There will be no rock, be no rock at all



Walking down the road

With a blade in your waist

Johnny you're too bad, Johnny you're too bad

Walking down the road

With a blade in your, with a blade your waist

You're too bad Johnny, too bad Johnny, too bad Johnny

With your blade a picking, switchblade licking

Too bad

With your licking and sticking, blade come picking

Too bad, that's what they say about you

With your blade come licking, licking, sticking

That's what they say about you

Licking, sticking, too bad



Johnny go walking

Ooh, Johnny go talking

Johnny go walking

Johnny go talking

Johnny go walking now

Johnny go talking

Johnny go walking out

Johnny go walking

Johnny go walking out","80s, cover, about a boy",80s,cover,about a boy
Josh Rouse,It's The Nighttime,,"singer-songwriter, folk, indie",singer-songwriter,folk,indie
Judy Collins,Pretty Saro,"Down in some lone valley in a lonesome place

Where the wild birds all whistle and their notes do increase

Farewell Pretty Saro I must bid you adieu

And I'll dream of Pretty Saro wherever I go



My love she won't have me and I understand

She wants a rich merchant and I have no land

I cannot maintain her, I've no silver and gold

Can't give her the nice things that a big house will hold



But if I were a merchant and I could write a fine hand

And I'd write my love a letter that she'd understand

I'd write it by the river where the waters o'erflow

And I'll dream of Pretty Saro wherever I go","folk, 60s, traditional",folk,60s,traditional
The Duke Spirit,The Wide Emptiness,,"indie rock, garage rock, indie",indie rock,garage rock,indie
Sandy Denny,Possibly Parsons Green,,"folk, singer-songwriter, female vocalists",folk,singer-songwriter,female vocalists
JJ Heller,When I Leave,"Am I too busy chasing a temporary fortune 

That my priorities get lost along the road 

The seasons bring their moments

They linger for an instant

They never wait for you to pay the debts you owe 



When I leave I want to leave a memory filled with love 

The kind you don't forget 

When I go I want to be known 

As one who lived with no regrets 



If life is like a flower

Am I doing all that's in my power 

To leave a fragrance behind 

It's time to count my blessings

Forget about my savings account for a while



I want them to say

What a glorious day

She had so much to gain 

But she gave it away 

And I want them to see something different in me 

And that I'm going to be free



Some glad morning when this life is over 

I'll fly away

To a home on God's celestial shore 

I'll fly away

When I leave I want to leave a memory...","christian, acoustic, folk",christian,acoustic,folk
Stevie Wonder,Evil,"Evil, why have you engulfed so many hearts? Evil

Evil, why have you destroyed so many minds?

Leaving room for darkness, where lost dreams can hide



Evil, why do you infest our purest thoughts, with hatred?

Evil, why have you stolen so much love?

Leaving everyone's emotions lost and wandering free, yeah-yeah



Evil, why have you taken over God's children's eyes? Evil

Evil, before they could really grow to see

That your way, is not the way, to make, life what it should be



Evil, why have you destroyed, you've destroyed so much of this doggone world?

Evil, hey, evil, oh, why have you broken so many homes?

Leaving sweet love all alone, an outcast of the world","soul, 70s, funk",soul,70s,funk
Stevie Wonder,Seems So Long,"Lady love and lady cared

But lady went away

And left me all alone to suffer

And now I feel it's not fair

For me to fall in love

The truth is the real me you must uncover



Seems so long, since I've heard the sound

It's been so long, since I've trusted in someone else

Had to see it all for myself

It's been so long, that the world seems cold

But I think it's time in my life to find myself again



Lady loved and lady stayed

Until she was too pleased

She knew I wouldn't leave for her to suffer

I'd never make her suffer

Now I believe you're just like me

In that you understand

You want me for your man to always love me



You can believe it seems so long, since I've touched a wanting hand

Oh, it seems so long since I've trusted in someone else

Had to see this world for myself

And it's been so long, that the world seems cold

Now I think I've found someone to make trust in someone again

I believe that I can trust in you","soul, stevie wonder, funk",soul,stevie wonder,funk
