artist,song
/royal-hunt/,Cold City Lights
/royal-hunt/,Far Away
/royal-hunt/,Hostile Breed
/royal-hunt/,Lies
/royal-hunt/,Paper Blood
/royal-hunt/,Step By Step
/royal-hunt/,The Mission
/heaven-hell/,Rock & Roll Angel
/heaven-hell/,Lady Evil
/circle-ii-circle/,Chase The Lies
/circle-ii-circle/,Faces In The Dark
/circle-ii-circle/,If I Go Away
/circle-ii-circle/,Revelations
/circle-ii-circle/,The Wake Of Magellan
/fates-warning/,A Pleasant Shade Of Grey
/fates-warning/,Damnation
/fates-warning/,From the Rooftops
/fates-warning/,Life In Still Water
/fates-warning/,Pale Fire
/fates-warning/,Shelter Me
/fates-warning/,Strange (with A Familiar Face)
/fates-warning/,The Strand
/maroon/,Annular Eclipse
/maroon/,For Those Unseen
/maroon/,Still Believe In What Has Fallen Apart
/maroon/,Without A Face
/domine/,Dragonlord
/domine/,On The Wings Of The Firebird
/domine/,The Fall Of The Spiral Tower
/domine/,The Proclamation
/anvil/,9-2-5
/anvil/,Big Business
/anvil/,Bushpig
/anvil/,Dirty Dorothy
/anvil/,Flying Blind
/anvil/,Groove Science
/anvil/,I Want You Both (With Me)
/anvil/,Life To Lead
/anvil/,No Evil
/anvil/,Piss Test
/anvil/,Rubberneck
/anvil/,Show Me Your Tits
/anvil/,Straight Between The Eyes
/anvil/,What I'm About
/racer-x/,Bolt In My Heart
/racer-x/,Getaway
/racer-x/,Heaven In '74
/racer-x/,Moonage Daydream
/racer-x/,Sunlit Nights
/vintersorg/,A Sphere In A Sphere? (to Infinity)
/vintersorg/,Dark Matter Mystery (blackbody Spectrum)
/vintersorg/,The Essence
/taraxacum/,Delirium (when Will It End?)
/taraxacum/,Rainmaker
/artillery/,Beneath The Clay (R.I.P.)
/artillery/,Equal At First
/artillery/,Into The Universe
/artillery/,Show Your Hate
/artillery/,Www
/bitch/,World War III
/beto-vazquez-infinity/,Secret
/beto-vazquez-infinity/,Wizard
/before-god/,Wolves Amongst The Sheep
/eminem/,Till I Collapse (feat. Nate Dogg)
/eminem/,Higher
/eminem/,3 Verses
/eminem/,8 Mile Freestyle - Vs. Papa Doc 2
/eminem/,Amityville (feat. Bizarre)
/eminem/,Bad Guy
/eminem/,Believe
/eminem/,Brain Damage
/eminem/,Careful What You Wish For
/eminem/,Come On In
/eminem/,Deja Vu
/eminem/,Don't Approach Me
/eminem/,Elevator
/eminem/,Encore/curtains Down
/eminem/,Fight Music
/eminem/,Fuck Off (Feat. Kid Rock)
/eminem/,Good Guy (Feat. Jessie Reyez)
/eminem/,Hailie's Song
/eminem/,I Love You More
/eminem/,If I Get Locked Up Tonite
/eminem/,It's Ok
/eminem/,Key (Skit)
/eminem/,Leaving Heaven (Feat. Skylar Grey)
/eminem/,Love Game (Feat. Kendrick Lamar)
/eminem/,Maxine
/eminem/,"Murder, Murder (Feat. 2 Pac & Swift)"
/eminem/,My Name Is (Bootleg Version)
/eminem/,No Love (feat. Lil Wayne)
/eminem/,Off the Wall
/eminem/,Open Mic (Feat. Thyme)
/eminem/,Pills...
/eminem/,Rabbit Run
/eminem/,Rhyme Or Reason
/eminem/,Rockville
/eminem/,Seduction
/eminem/,Smack That
/eminem/,"Spend Some Time (feat. Obie Trice, Stat Quo, 50 Cent)"
/eminem/,Still Don't Give A Fuck
/eminem/,Taking My Ball
/eminem/,"The Cypher (with Mos Def, and Black Thought)"
/eminem/,The Sauce
/eminem/,Till Hell Freezes Over
/eminem/,Tylenol Island
/eminem/,W.E.G.O. (Interlude)
/eminem/,We All Die 1 Day
/eminem/,What If He Was White
/eminem/,Wicked Ways (feat. X Ambassadors)
/eminem/,"You Gon' Learn (Feat. Royce da 5'9"" & White Gold)"
/drake/,Champagne Poetry
